class_type,wristX,wristY,thumb_CmcX,thumb_CmcY,thumb_McpX,thumb_McpY,thumb_IpX,thumb_IpY,thumb_TipX,thumb_TipY,index_McpX,index_McpY,index_PipX,index_PipY,index_DipX,index_DipY,index_TipX,index_TipY,middle_McpX,middle_McpY,middle_PipX,middle_PipY,middle_DipX,middle_DipY,middle_TipX,middle_TipY,ring_McpX,ring_McpY,ring_PipX,ring_PipY,ring_DipX,ring_DipY,ring_TipX,ring_TipY,pinky_McpX,pinky_McpY,pinky_PipX,pinky_PipY,pinky_DipX,pinky_DipY,pinky_TipX,pinky_TipY
A,614.6637797355652,905.8066204786301,549.9617010354996,910.5590088367462,484.5064580440521,895.3014162778854,446.4156925678253,872.7914003133774,435.59910356998444,842.7090022563934,492.17596650123596,845.1248334646225,455.9251517057419,844.8602950572968,478.7316173315048,890.2234238386154,501.1870712041855,922.557936668396,536.6412699222565,826.8208748102188,510.6068104505539,840.2756782770157,530.3860008716583,889.723051071167,550.5364090204239,916.5964797735214,581.7332714796066,822.1003710031509,561.3563060760498,835.3892316818237,580.989271402359,882.7921766042709,597.9336351156235,906.5726448297501,621.9663619995117,825.8025569915771,617.0095056295395,835.6762721538544,628.2671838998795,863.7198877334595,636.8579864501953,880.3557516336441
A,1586.3405499458313,1973.9896259307861,1321.859983921051,1894.983892440796,1098.946305513382,1643.6051816940308,1026.106686115265,1423.2688903808594,1142.311011314392,1298.8031845092773,1358.4467124938965,1326.8512363433838,1180.1581242084503,1322.6377487182617,1248.48362159729,1524.7181015014648,1334.2586188316345,1572.4707565307617,1538.0455477237701,1328.6023778915405,1324.7334759235382,1347.1214866638184,1386.3340830802917,1595.283348083496,1477.0089755058289,1566.3576526641846,1694.5765285491943,1365.8208532333374,1494.6348946094513,1374.982985496521,1511.3543043136597,1631.5836448669434,1599.9062926769257,1636.526762008667,1844.856026172638,1433.1916675567627,1677.424246788025,1448.9751262664795,1652.7308478355408,1627.551796913147,1734.164802789688,1648.0178127288818
A,1586.6581506729126,1899.797420501709,1347.6721251010895,1834.859932899475,1150.5928130149841,1586.5239553451538,1096.2665061950684,1351.8570156097412,1162.6830596923828,1189.3167634010315,1330.0468969345093,1302.564185142517,1176.8955194950104,1221.4005017280579,1243.117343902588,1418.0417213439941,1323.6712753772736,1484.5536241531372,1496.6836380958557,1292.2744436264038,1320.3495955467224,1246.6038122177124,1390.0681371688843,1507.7116842269897,1478.3176102638245,1487.5367832183838,1651.1522870063782,1313.394700050354,1489.7800254821777,1272.180612564087,1525.2376477718353,1541.0492429733276,1619.031084537506,1549.6678380966187,1807.9344234466553,1360.078091621399,1668.1819274425507,1352.1363077163696,1661.5506591796875,1533.0326843261719,1746.2619588375092,1546.7569971084595
A,1609.0154914855957,1907.0421257019043,1332.827688217163,1813.6120834350586,1129.451521396637,1560.214301109314,1071.799619436264,1348.270438194275,1158.3085069656372,1216.640329360962,1355.7936294078827,1269.307005405426,1177.5567462444305,1234.47740650177,1229.3971767425537,1433.0167837142944,1307.6478695869446,1492.570029258728,1520.19069814682,1268.2919421195984,1310.7106783390045,1268.1192078590393,1370.568396806717,1511.1583852767944,1468.7453684806824,1480.1959609985352,1672.3444776535034,1296.5303087234497,1469.0665390491486,1293.245901107788,1493.2729425430298,1545.6112699508667,1592.2488677501678,1547.547122001648,1834.1850793361664,1350.6795053482056,1657.4513297080994,1350.0817680358887,1638.7678163051605,1529.0826740264893,1727.6644670963287,1547.885220527649
A,1650.9914138317108,1806.711464881897,1384.9229593276978,1740.9924507141113,1179.7224884033203,1506.9951057434082,1119.8518724441528,1279.860915184021,1177.4266197681427,1110.5846409797668,1339.617756843567,1247.2738676071167,1212.6714334487915,1152.1977829933167,1277.3384191989899,1327.7460765838623,1347.7477827072144,1396.6002559661865,1490.157161951065,1233.30503988266,1353.1062297821045,1172.6792297363281,1420.4683306217194,1421.2321615219116,1494.8404483795166,1414.44930934906,1643.0284795761108,1249.131106376648,1516.589303970337,1200.7026381492615,1551.2043285369873,1468.1994514465332,1628.5966472625732,1483.3857870101929,1807.1143963336945,1288.05251121521,1687.5525777339935,1268.0211715698242,1683.299860239029,1451.8650856018066,1756.4802267551422,1475.5927848815918
A,613.6877685785294,1068.6601852178574,539.6105647087097,1032.2135989665985,497.5607693195343,979.8962190151215,481.3326895236969,931.3137842416763,461.47482097148895,888.4793945550919,530.8401882648468,954.719509601593,516.4822340011597,922.9534323215485,507.7816843986511,912.6846190690994,503.6759823560715,904.377620100975,576.9178569316864,946.314551115036,559.2050850391388,916.3475258350372,548.397570848465,908.7842876911163,548.8054901361465,901.6222701072693,617.3707097768784,940.8117228746414,602.0665168762207,904.3601273298264,592.4637615680695,897.9681097269058,592.4404263496399,895.276767373085,656.1683714389801,938.6635310649872,645.4230397939682,899.0969500541687,634.1430097818375,892.1490598917007,629.8841536045074,889.1057152748108
A,984.6900105476379,1544.5247888565063,744.57186460495,1291.921615600586,699.5278596878052,875.4562735557556,729.1795611381531,565.7272338867188,696.9391107559204,320.42333483695984,937.8772974014282,730.9224009513855,1051.9195795059204,470.53810954093933,971.2560772895813,730.3392887115479,913.9920473098755,875.3172159194946,1129.8246383666992,858.9357733726501,1251.0356903076172,611.1347675323486,1086.6155624389648,924.9324202537537,1034.3291759490967,1007.5243711471558,1296.4295148849487,1003.0498504638672,1420.2944040298462,783.1436991691589,1205.8593034744263,1071.2677240371704,1134.4932317733765,1165.640115737915,1456.882357597351,1154.3773412704468,1546.2164878845215,1001.3117790222168,1367.5312995910645,1164.7276878356934,1293.1549549102783,1232.0380210876465
A,990.4919266700745,1450.2630233764648,780.1868915557861,1265.5365467071533,704.067587852478,965.6094908714294,720.2308177947998,728.8909554481506,738.3697032928467,538.7368202209473,895.6151604652405,851.7493605613708,951.0114192962646,639.9153470993042,915.7112836837769,845.0903296470642,888.5142207145691,986.7241382598877,1057.7893257141113,924.6442914009094,1120.6845045089722,728.9339900016785,1041.1376953125,971.8003273010254,1016.1341428756714,1087.9857540130615,1204.6915292739868,1012.7049684524536,1263.159155845642,845.7163572311401,1151.20530128479,1075.666069984436,1111.9530200958252,1192.7440166473389,1344.4933891296387,1109.955072402954,1389.8403644561768,977.4819612503052,1291.0346984863281,1110.8092069625854,1246.4783191680908,1193.2684183120728
A,938.7646913528442,1588.5436534881592,702.9604911804199,1356.2802076339722,659.2332124710083,947.6557970046997,690.9604668617249,638.2992267608643,650.7102251052856,392.68049597740173,899.3680477142334,791.6901111602783,1023.4456062316895,539.2504930496216,935.0670576095581,791.2577986717224,870.7093000411987,933.1109523773193,1087.5189304351807,918.6741709709167,1215.4560089111328,682.7903389930725,1044.1056489944458,989.5215034484863,990.2790188789368,1076.7922401428223,1250.9515285491943,1068.3369636535645,1378.303050994873,856.0144305229187,1163.9368534088135,1134.0490579605103,1091.5724039077759,1231.5633296966553,1406.5020084381104,1227.952003479004,1502.6819705963135,1075.3470659255981,1326.1078596115112,1232.5117588043213,1248.889684677124,1302.8767108917236
A,1031.118631362915,1374.5077848434448,736.4296913146973,1197.3485946655273,562.8454685211182,864.9500608444214,570.1174139976501,577.4374008178711,695.9630250930786,382.92771577835083,832.9889178276062,680.9198260307312,845.8821177482605,435.06261706352234,803.0298352241516,684.2296719551086,792.87189245224,823.6008882522583,1030.9743881225586,739.0846610069275,1056.863784790039,492.69306659698486,964.9646878242493,798.1207370758057,966.8340682983398,906.8909883499146,1219.0196514129639,823.3446478843689,1228.0253171920776,607.4046492576599,1105.794906616211,908.9821577072144,1098.3394384384155,1028.8419723510742,1402.732253074646,922.2818613052368,1405.9371948242188,745.0398206710815,1294.9954271316528,931.1670064926147,1276.1235237121582,1035.7941389083862
